,8:30 - 9:20,9:30 - 10:20,10:30 - 11:20,11:30 - 12:20,12:30 - 1:20,1:30 - 2:20,2:30 - 3:20,3:30 - 4:20,4:30 - 5:20,5:30 - 6:20,6:30 - 7:20,7:30 - 8:20
SUNDAY,CSCI205-07-LEC - F48,CSCI205-07-LEC - F48,CSCI112-06-LEC - 148,CSCI112-06-LEC - 148,,,,,,,,
MONDAY,MATH112-01B-TUT - 216,MATH112-01B-TUT - 216,,,,,,,,,,
TUESDAY,,,CSCI205-07B-LAB - G17,CSCI205-07B-LAB - G17,,,,,,,,
WEDNESDAY,,,,,,,,,,,,
THURSDAY,,,CSCI112-06B-LAB - 7,CSCI112-06B-LAB - 7,HUMA102-05-LEC - F45,,,,MATH112i-01-LEC - F45,MATH112i-01-LEC - F45,,
