,8:30 - 9:20,9:30 - 10:20,10:30 - 11:20,11:30 - 12:20,12:30 - 1:20,1:30 - 2:20,2:30 - 3:20,3:30 - 4:20,4:30 - 5:20,5:30 - 6:20,6:30 - 7:20,7:30 - 8:20
SUNDAY,ENGL102-04-LEC - online,,,,,,,,,,,
MONDAY,CHEM001-04A-LAB - 119,ENGL102-04-LEC - online,ENGL102-04-LEC - online,ECEN313-02B-LAB - S39,,,CHEM001-04-LEC - 154,CHEM001-04-LEC - 154,,,,
TUESDAY,MATH206-02-LEC - online,MATH206-02-LEC - online,ECEN311-01-LEC - online,ECEN311-01-LEC - online,ENTR301-02-LEC - 232,ENTR301-02-LEC - 232,ENTR301-02-LEC - 232,,,,,
WEDNESDAY,ECEN311-01A-TUT - 111,,ECEN313-02-LEC - online,ECEN313-02-LEC - online,MATH206-02B-TUT - 101,MATH206-02B-TUT - 101,CHEM001-04B-TUT - 127,,,,,
THURSDAY,ECEN311-01A-LAB - 333,ECEN313-02A-TUT - online,HUMA002-04-LEC - online,HUMA002-04-LEC - online,,,,,,,,
