,8:30 - 9:20,9:30 - 10:20,10:30 - 11:20,11:30 - 12:20,12:30 - 1:20,1:30 - 2:20,2:30 - 3:20,3:30 - 4:20
SUNDAY,,,,,MATH112-02B-TUT - 155,MATH112-02B-TUT - 155,CSCI205-01-LEC - 8,CSCI205-01-LEC - 8
MONDAY,,,,,,,CSCI112-04A-LAB - 265,CSCI112-04A-LAB - 265
TUESDAY,,,CSCI205-01B-LAB - 7,CSCI205-01B-LAB - 7,,,,
WEDNESDAY,,,,,,,MATH112-02-LEC - F45,MATH112-02-LEC - F45
THURSDAY,,HUMA102-02-LEC - F45,CSCI112-04-LEC - 116,CSCI112-04-LEC - 116,,,,
