,8:30 - 9:20,9:30 - 10:20,10:30 - 11:20,11:30 - 12:20,12:30 - 1:20,1:30 - 2:20,2:30 - 3:20,3:30 - 4:20,4:30 - 5:20,5:30 - 6:20,6:30 - 7:20,7:30 - 8:20
SUNDAY,,,,,MATH112-02B-TUT - 155,MATH112-02B-TUT - 155,,,,,CSCI205-04A-LAB - G29,CSCI205-04A-LAB - G29
MONDAY,,,,,,,CSCI112-04A-LAB - 265,CSCI112-04A-LAB - 265,,,,
TUESDAY,,,,,,,CSCI205-04-LEC - 8,CSCI205-04-LEC - 8,,,,
WEDNESDAY,,,,,,,,,,,,
THURSDAY,,HUMA102-02-LEC - F45,CSCI112-04-LEC - 116,CSCI112-04-LEC - 116,,,,,MATH112i-01-LEC - F45,MATH112i-01-LEC - F45,,
