,8:30 - 9:20,9:30 - 10:20,10:30 - 11:20,11:30 - 12:20,12:30 - 1:20,1:30 - 2:20,2:30 - 3:20,3:30 - 4:20
SUNDAY,,,,,,,CSCI112-02-LEC - 232,CSCI112-02-LEC - 232
MONDAY,,,,,,,MATH112i-01A-TUT - 233,MATH112i-01A-TUT - 233
TUESDAY,CSCI205-06A-LAB - 1,CSCI205-06A-LAB - 1,,,,,,
WEDNESDAY,,,CSCI205-06-LEC - F45,CSCI205-06-LEC - F45,,,MATH112-02-LEC - F45,MATH112-02-LEC - F45
THURSDAY,,HUMA102-02-LEC - F45,,,CSCI112-02A-LAB - 264,CSCI112-02A-LAB - 264,,
