,8:30 - 9:20,9:30 - 10:20,10:30 - 11:20,11:30 - 12:20,12:30 - 1:20,1:30 - 2:20,2:30 - 3:20,3:30 - 4:20
SUNDAY,,,CSCI205-08-LEC - F38,CSCI205-08-LEC - F38,,,CSCI112-07-LEC - 116,CSCI112-07-LEC - 116
MONDAY,,,,,,,MATH112i-01A-TUT - 233,MATH112i-01A-TUT - 233
TUESDAY,,,,,,,,
WEDNESDAY,,,,,,,MATH112-02-LEC - F45,MATH112-02-LEC - F45
THURSDAY,CSCI112-07A-LAB - 264,CSCI112-07A-LAB - 264,HUMA102-03-LEC - F45,,,,CSCI205-08B-LAB - G17,CSCI205-08B-LAB - G17
