,8:30 - 9:20,9:30 - 10:20,10:30 - 11:20,11:30 - 12:20,12:30 - 1:20,1:30 - 2:20,2:30 - 3:20,3:30 - 4:20
SUNDAY,,,CSCI112-06-LEC - 148,CSCI112-06-LEC - 148,,,MATH112-02A-TUT - 9,MATH112-02A-TUT - 9
MONDAY,,,,,,,,
TUESDAY,,,,,CSCI205-03-LEC - 8,CSCI205-03-LEC - 8,,
WEDNESDAY,,,CSCI205-03A-LAB - 1,CSCI205-03A-LAB - 1,,,MATH112-02-LEC - F45,MATH112-02-LEC - F45
THURSDAY,,HUMA102-02-LEC - F45,CSCI112-06B-LAB - 7,CSCI112-06B-LAB - 7,,,,
