,8:30 - 9:20,9:30 - 10:20,10:30 - 11:20,11:30 - 12:20,12:30 - 1:20,1:30 - 2:20,2:30 - 3:20,3:30 - 4:20,4:30 - 5:20,5:30 - 6:20,6:30 - 7:20,7:30 - 8:20
SUNDAY,,,,,MATH112-02B-TUT - 155,MATH112-02B-TUT - 155,CSCI112-07-LEC - 116,CSCI112-07-LEC - 116,,,,
MONDAY,,,,,,,,,,,,
TUESDAY,,,,,,,CSCI205-04-LEC - 8,CSCI205-04-LEC - 8,,,,
WEDNESDAY,,,,,,,,,,,,
THURSDAY,CSCI112-07A-LAB - 264,CSCI112-07A-LAB - 264,HUMA102-03-LEC - F45,,,,,,MATH112i-01-LEC - F45,MATH112i-01-LEC - F45,CSCI205-04B-LAB - 1,CSCI205-04B-LAB - 1
