,8:30 - 9:20,9:30 - 10:20,10:30 - 11:20,11:30 - 12:20,12:30 - 1:20,1:30 - 2:20,2:30 - 3:20,3:30 - 4:20
SUNDAY,,,CSCI205-02-LEC - 129,CSCI205-02-LEC - 129,MATH112-02B-TUT - 155,MATH112-02B-TUT - 155,CSCI112-07-LEC - 116,CSCI112-07-LEC - 116
MONDAY,,,,,,,,
TUESDAY,,,,,CSCI205-02A-LAB - G18,CSCI205-02A-LAB - G18,,
WEDNESDAY,,,,,,,MATH112-02-LEC - F45,MATH112-02-LEC - F45
THURSDAY,CSCI112-07A-LAB - 264,CSCI112-07A-LAB - 264,,HUMA102-04-LEC - F45,,,,
