,8:30 - 9:20,9:30 - 10:20,10:30 - 11:20,11:30 - 12:20,12:30 - 1:20,1:30 - 2:20,2:30 - 3:20,3:30 - 4:20,4:30 - 5:20,5:30 - 6:20,6:30 - 7:20,7:30 - 8:20
SUNDAY,,,,,,,,,,,,
MONDAY,MATH112-01B-TUT - 216,MATH112-01B-TUT - 216,,,,,CSCI112-04A-LAB - 265,CSCI112-04A-LAB - 265,,,,
TUESDAY,,,,,,,CSCI205-06B-LAB - 1,CSCI205-06B-LAB - 1,,,,
WEDNESDAY,,,CSCI205-06-LEC - F45,CSCI205-06-LEC - F45,,,,,,,,
THURSDAY,,,CSCI112-04-LEC - 116,CSCI112-04-LEC - 116,HUMA102-05-LEC - F45,,,,MATH112i-01-LEC - F45,MATH112i-01-LEC - F45,,
