,8:30 - 9:20,9:30 - 10:20,10:30 - 11:20,11:30 - 12:20,12:30 - 1:20,1:30 - 2:20,2:30 - 3:20,3:30 - 4:20
SUNDAY,ECEN204-01A-LAB - LAB - G29,,MATH206-4 - LEC - online,ECEN203-01C-LAB - LAB - online,MATH206-4 - LEC - online,ECEN204-02 - LEC - 116,ECEN202-01B-LAB - LAB - G25,ECEN204-02 - LEC - 116,ECEN202-02A-TUT - TUT - online,ECEN204-02A-TUT - TUT - 82,MATH206-03B-TUT - TUT - 101,ENGL102-4 - LEC - F34,MATH206-03B-TUT - TUT - 101
MONDAY,,,,,,ECEN203-2 - LEC - online,ECEN203-2 - LEC - online,ENGL102-4 - LEC - F34,ENGL102-4 - LEC - F34
TUESDAY,,ENTR301-2 - LEC - online,ENTR301-2 - LEC - online,ENTR301-2 - LEC - online,,,,
WEDNESDAY,,,ECEN202-01 - LEC - online,,,,,
THURSDAY,,,ECEN203-01A-TUT - TUT - online,,,,,
