,,8:30 - 9:20,,,,9:30 - 10:20,,,,10:30 - 11:20,,,,11:30 - 12:20,,,,12:30 - 13:20,,,,13:30 - 14:20,,,,14:30 - 15:20,,,,15:30 - 16:20,,,,16:30 - 18:30,,,,,,,
0,, course code,activity,instructor,room, course code,activity,instructor,room, course code,activity,instructor,room, course code,activity,instructor,room, course code,activity,instructor,room, course code,activity,instructor,room, course code,activity,instructor,room, course code,activity,instructor,room, course code,activity,instructor,room,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,,,ÿ,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÿ,ÿ,ÿ,ÿ,,,,
64,MONDAY,MATH104-02A,TUT,Mohammed Farag AbdelHameed,online,MATH104-02A,TUT,Mohammed Farag AbdelHameed,online,ECEN202-02B,LAB,Hend Adel Bakr,G25,ECEN204-02C,LAB,NA,G29,,,,,ECEN202-01A,TUT,Hend Adel Bakr,online,ECEN203-2,LEC,Tawfik Ismail Ismail,online,ENGL102-4,LEC,NA,F26,,,,,,,,
65,,MATH104-03B,TUT,Maha Hassan Abbas,online,MATH104-03B,TUT,Maha Hassan Abbas,online,,,,,ENGL102-2,LEC,NA,F42,,,,,ECEN203-2,LEC,Tawfik Ismail Ismail,online,ENGL102-3,LEC,NA,F27,,,,,,,,,,,,
66,,,,,,,,,,,,,,ENGL102-5,LEC,NA,online,,,,,,,,,ENGL102-4,LEC,NA,F26,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
